Type,ID,last_checked,last_modified,last_vectorised,name,unique_name,unique_name,unique_name
movement,dutch_golden_age,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,dutch golden age painting,dutch golden age,dutch golden age,dutch golden age
artist,conner_bruce,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,bruce conner,conner,conner,conner
artist,tillmans_wolfgang,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,wolfgang tillmans,tillmans,tillmans,tillmans
artist,moholy_nagy_laszlo,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,lászló moholy-nagy,laszlo moholy-nagy,laszlo moholy-nagy,laszlo moholy-nagy
movement,installation_art,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,installation art,installation,installation,installation
artist,komar_and_melamid,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,vitaly komar and alexander melamid,vitaly komar melamid,vitaly komar melamid,vitaly komar melamid
artist,brown_ford_madox,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,ford madox brown,ford madox,ford madox,ford madox
artist,ghirlandaio,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,ghirlandaio,ghirlandaio,ghirlandaio,ghirlandaio
artist,izquierdo_maria,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,maría izquierdo,izquierdo,izquierdo,izquierdo
artist,moillon_louise,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,louise moillon,moillon,moillon,moillon
artist,albright_ivan,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,ivan albright,albright,albright,albright
artist,levine_jack,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,jack levine,,,
artist,artschwager_richard,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,richard artschwager,artschwager,artschwager,artschwager
artist,hunt_richard_morris,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,richard morris hunt,,,
artist,nadar,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,nadar,nadar,nadar,nadar
